,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,Species,Family,Order
14,15,Spectrogram 1,1,7.0,7.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_053065031_07105_1.wav,,,passerine
15,16,Spectrogram 1,1,7.5,8.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_057251232_08210_1.wav,oven,warbler,passerine
16,17,Spectrogram 1,1,8.0,8.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_057771528_02763_1.wav,swth,thrush,passerine
17,18,Spectrogram 1,1,8.5,9.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_057972600_02921_1.wav,swth,thrush,passerine
18,19,Spectrogram 1,1,9.0,9.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_058104744_02921_1.wav,swth,thrush,passerine
19,20,Spectrogram 1,1,9.5,10.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_058122336_02842_1.wav,swth,thrush,passerine
20,21,Spectrogram 1,1,10.0,10.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_058303464_02763_1.wav,,,passerine
21,22,Spectrogram 1,1,10.5,11.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_060863759_06553_1.wav,,,passerine
22,23,Spectrogram 1,1,11.0,11.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_063879720_02842_1.wav,,,passerine
23,24,Spectrogram 1,1,11.5,12.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_066464111_06868_1.wav,,,passerine
24,25,Spectrogram 1,1,12.0,12.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_067206792_08684_1.wav,,,passerine
25,26,Spectrogram 1,1,12.5,13.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_069418343_06000_1.wav,,warbler,passerine
26,27,Spectrogram 1,1,13.0,13.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_069498312_07026_1.wav,nopa,warbler,passerine
27,28,Spectrogram 1,1,13.5,14.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_079181688_06632_1.wav,,warbler,passerine
28,29,Spectrogram 1,1,14.0,14.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_079566024_06553_1.wav,,warbler,passerine
29,30,Spectrogram 1,1,14.5,15.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_080273616_03079_1.wav,,,passerine
30,31,Spectrogram 1,1,15.0,15.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_080510280_05368_1.wav,,,passerine
31,32,Spectrogram 1,1,15.5,16.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_080856768_03079_1.wav,,,passerine
32,33,Spectrogram 1,1,16.0,16.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_081910320_06947_1.wav,,,passerine
33,34,Spectrogram 1,1,16.5,17.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_082575816_06632_1.wav,nopa,warbler,passerine
34,35,Spectrogram 1,1,17.0,17.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_082823423_07263_1.wav,,warbler,passerine
35,36,Spectrogram 1,1,17.5,18.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_083628863_08210_1.wav,,,passerine
36,37,Spectrogram 1,1,18.0,18.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_083757600_03079_1.wav,,,passerine
37,38,Spectrogram 1,1,18.5,19.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_083816976_02921_1.wav,,,passerine
38,39,Spectrogram 1,1,19.0,19.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_083996952_03158_1.wav,,thrush,passerine
39,40,Spectrogram 1,1,19.5,20.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084024024_02763_1.wav,,,passerine
40,41,Spectrogram 1,1,20.0,20.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084159768_03079_1.wav,swth,thrush,passerine
41,42,Spectrogram 1,1,20.5,21.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084282744_02842_1.wav,,,passerine
42,43,Spectrogram 1,1,21.0,21.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084315144_02605_1.wav,,,passerine
43,44,Spectrogram 1,1,21.5,22.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084389328_02763_1.wav,swth,thrush,passerine
44,45,Spectrogram 1,1,22.0,22.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084544200_03079_1.wav,swth,thrush,passerine
45,46,Spectrogram 1,1,22.5,23.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084895848_03316_1.wav,swth,thrush,passerine
46,47,Spectrogram 1,1,23.0,23.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_084940608_06632_1.wav,,warbler,passerine
47,48,Spectrogram 1,1,23.5,24.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085139208_06790_1.wav,,warbler,passerine
48,49,Spectrogram 1,1,24.0,24.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085185624_08053_1.wav,,,passerine
49,50,Spectrogram 1,1,24.5,25.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085221120_02763_1.wav,,,passerine
50,51,Spectrogram 1,1,25.0,25.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085454016_02842_1.wav,,,passerine
51,52,Spectrogram 1,1,25.5,26.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085459680_03000_1.wav,,,passerine
52,53,Spectrogram 1,1,26.0,26.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085610016_02684_1.wav,,,passerine
53,54,Spectrogram 1,1,26.5,27.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085652903_06790_1.wav,,,passerine
54,55,Spectrogram 1,1,27.0,27.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085668360_02605_1.wav,,thrush,passerine
55,56,Spectrogram 1,1,27.5,28.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_085999608_02684_1.wav,,,passerine
56,57,Spectrogram 1,1,28.0,28.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086031288_06710_1.wav,,,passerine
57,58,Spectrogram 1,1,28.5,29.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086134416_02763_1.wav,swth,thrush,passerine
58,59,Spectrogram 1,1,29.0,29.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086421216_02368_1.wav,swth,thrush,passerine
59,60,Spectrogram 1,1,29.5,30.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086607480_02842_1.wav,,,passerine
60,61,Spectrogram 1,1,30.0,30.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086687448_02842_1.wav,,,passerine
61,62,Spectrogram 1,1,30.5,31.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086701656_06868_1.wav,,,passerine
62,63,Spectrogram 1,1,31.0,31.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086830584_02605_1.wav,,,passerine
63,64,Spectrogram 1,1,31.5,32.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086880288_03079_1.wav,rbgr,cardinal,passerine
64,65,Spectrogram 1,1,32.0,32.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_086926200_02605_1.wav,,,passerine
65,66,Spectrogram 1,1,32.5,33.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_087084240_02526_1.wav,,,passerine
66,67,Spectrogram 1,1,33.0,33.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_087096576_07105_1.wav,,,passerine
67,68,Spectrogram 1,1,33.5,34.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_087197952_03158_1.wav,,,passerine
68,69,Spectrogram 1,1,34.0,34.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_087202584_02763_1.wav,,,passerine
69,70,Spectrogram 1,1,34.5,35.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_087495551_03237_1.wav,,,passerine
70,71,Spectrogram 1,1,35.0,35.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_087504312_02605_1.wav,swth,thrush,passerine
71,72,Spectrogram 1,1,35.5,36.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_088332936_02684_1.wav,swth,thrush,passerine
72,73,Spectrogram 1,1,36.0,36.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_088549488_02290_1.wav,swth,thrush,passerine
73,74,Spectrogram 1,1,36.5,37.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_088596168_02447_1.wav,,,passerine
74,75,Spectrogram 1,1,37.0,37.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089246160_02605_1.wav,swth,thrush,passerine
75,76,Spectrogram 1,1,37.5,38.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089307720_02763_1.wav,,,passerine
76,77,Spectrogram 1,1,38.0,38.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089478048_02763_1.wav,,,passerine
77,78,Spectrogram 1,1,38.5,39.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089483568_03158_1.wav,,,passerine
78,79,Spectrogram 1,1,39.0,39.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089523336_02921_1.wav,,thrush,passerine
79,80,Spectrogram 1,1,39.5,40.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089539440_03000_1.wav,,,passerine
80,81,Spectrogram 1,1,40.0,40.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089541648_02842_1.wav,,,passerine
81,82,Spectrogram 1,1,40.5,41.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089554080_02210_1.wav,,thrush,passerine
82,83,Spectrogram 1,1,41.0,41.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089555903_02210_1.wav,,thrush,passerine
83,84,Spectrogram 1,1,41.5,42.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089575248_02842_1.wav,,,passerine
84,85,Spectrogram 1,1,42.0,42.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_089591448_02921_1.wav,,,passerine
85,86,Spectrogram 1,1,42.5,43.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_091319544_02921_1.wav,swth,thrush,passerine
86,87,Spectrogram 1,1,43.0,43.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_091817832_07737_1.wav,,sparrow,passerine
87,88,Spectrogram 1,1,43.5,44.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_092510280_03553_1.wav,,,passerine
88,89,Spectrogram 1,1,44.0,44.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_093721320_02684_1.wav,,thrush,passerine
89,90,Spectrogram 1,1,44.5,45.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094004448_03079_1.wav,swth,thrush,passerine
90,91,Spectrogram 1,1,45.0,45.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094010232_02684_1.wav,swth,thrush,passerine
91,92,Spectrogram 1,1,45.5,46.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094143696_06868_1.wav,bbwa,warbler,passerine
92,93,Spectrogram 1,1,46.0,46.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094152456_02526_1.wav,rbgr,cardinal,passerine
93,94,Spectrogram 1,1,46.5,47.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094191168_02526_1.wav,swth,thrush,passerine
94,95,Spectrogram 1,1,47.0,47.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094221648_08290_1.wav,,,passerine
95,96,Spectrogram 1,1,47.5,48.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094251936_08605_1.wav,,,passerine
96,97,Spectrogram 1,1,48.0,48.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094378272_02763_1.wav,swth,thrush,passerine
97,98,Spectrogram 1,1,48.5,49.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094404504_02605_1.wav,swth,thrush,passerine
98,99,Spectrogram 1,1,49.0,49.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094514664_06868_1.wav,,,passerine
99,100,Spectrogram 1,1,49.5,50.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094590768_03316_1.wav,,thrush,passerine
100,101,Spectrogram 1,1,50.0,50.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_094839984_03158_1.wav,,,passerine
101,102,Spectrogram 1,1,50.5,51.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_096362903_06868_1.wav,,warbler,passerine
102,103,Spectrogram 1,1,51.0,51.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_097525248_08447_1.wav,,sparrow,passerine
103,104,Spectrogram 1,1,51.5,52.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_097600392_07500_1.wav,,warbler,passerine
104,105,Spectrogram 1,1,52.0,52.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_097720536_06947_1.wav,,warbler,passerine
105,106,Spectrogram 1,1,52.5,53.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_097751016_06395_1.wav,,warbler,passerine
106,107,Spectrogram 1,1,53.0,53.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_098618376_07342_1.wav,,warbler,passerine
107,108,Spectrogram 1,1,53.5,54.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_098717664_06553_1.wav,,,passerine
108,109,Spectrogram 1,1,54.0,54.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_098949120_06868_1.wav,,warbler,passerine
109,110,Spectrogram 1,1,54.5,55.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_099078192_06316_1.wav,,warbler,passerine
110,111,Spectrogram 1,1,55.0,55.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_099177168_07026_1.wav,,warbler,passerine
111,112,Spectrogram 1,1,55.5,56.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_099719856_06790_1.wav,,warbler,passerine
112,113,Spectrogram 1,1,56.0,56.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_099825216_06710_1.wav,,warbler,passerine
113,114,Spectrogram 1,1,56.5,57.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100191168_06710_1.wav,,warbler,passerine
114,115,Spectrogram 1,1,57.0,57.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100236192_07026_1.wav,,,passerine
115,116,Spectrogram 1,1,57.5,58.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100247136_03000_1.wav,swth,thrush,passerine
116,117,Spectrogram 1,1,58.0,58.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100256328_06000_1.wav,,,passerine
117,118,Spectrogram 1,1,58.5,59.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100747103_02447_1.wav,,,passerine
118,119,Spectrogram 1,1,59.0,59.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100906488_03000_1.wav,swth,thrush,passerine
119,120,Spectrogram 1,1,59.5,60.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_100939056_02605_1.wav,,,passerine
120,121,Spectrogram 1,1,60.0,60.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_101500223_02921_1.wav,swth,thrush,passerine
121,122,Spectrogram 1,1,60.5,61.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_102602664_06474_1.wav,,warbler,passerine
122,123,Spectrogram 1,1,61.0,61.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_102807599_06237_1.wav,,,passerine
123,124,Spectrogram 1,1,61.5,62.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_102920760_06474_1.wav,bbwa,warbler,passerine
124,125,Spectrogram 1,1,62.0,62.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_103370712_06553_1.wav,,warbler,passerine
125,126,Spectrogram 1,1,62.5,63.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_103375800_02526_1.wav,swth,thrush,passerine
126,127,Spectrogram 1,1,63.0,63.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_103895256_07184_1.wav,,,passerine
127,128,Spectrogram 1,1,63.5,64.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_103978991_06079_1.wav,,warbler,passerine
128,129,Spectrogram 1,1,64.0,64.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_103988519_07026_1.wav,,,passerine
129,130,Spectrogram 1,1,64.5,65.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_103997544_06553_1.wav,,warbler,passerine
130,131,Spectrogram 1,1,65.0,65.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104110176_06632_1.wav,,warbler,passerine
131,132,Spectrogram 1,1,65.5,66.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104138544_07421_1.wav,savs,sparrow,passerine
132,133,Spectrogram 1,1,66.0,66.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104198448_06947_1.wav,,sparrow,passerine
133,134,Spectrogram 1,1,66.5,67.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104294592_06474_1.wav,,,passerine
134,135,Spectrogram 1,1,67.0,67.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104541744_02684_1.wav,swth,thrush,passerine
135,136,Spectrogram 1,1,67.5,68.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104584488_06947_1.wav,,warbler,passerine
136,137,Spectrogram 1,1,68.0,68.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104631672_03079_1.wav,swth,thrush,passerine
137,138,Spectrogram 1,1,68.5,69.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104787744_02605_1.wav,swth,thrush,passerine
138,139,Spectrogram 1,1,69.0,69.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_104833272_03237_1.wav,,,passerine
139,140,Spectrogram 1,1,69.5,70.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105066744_02763_1.wav,swth,thrush,passerine
140,141,Spectrogram 1,1,70.0,70.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105073752_07895_1.wav,,,passerine
141,142,Spectrogram 1,1,70.5,71.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105346968_02842_1.wav,,,passerine
142,143,Spectrogram 1,1,71.0,71.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105389616_02526_1.wav,woth,thrush,passerine
143,144,Spectrogram 1,1,71.5,72.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105497519_06000_1.wav,,,passerine
144,145,Spectrogram 1,1,72.0,72.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105683688_06158_1.wav,,,passerine
145,146,Spectrogram 1,1,72.5,73.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105796584_03158_1.wav,swth,thrush,passerine
146,147,Spectrogram 1,1,73.0,73.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_105960336_02763_1.wav,,thrush,passerine
147,148,Spectrogram 1,1,73.5,74.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_106196352_03000_1.wav,,thrush,passerine
148,149,Spectrogram 1,1,74.0,74.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_106867944_02684_1.wav,,thrush,passerine
149,150,Spectrogram 1,1,74.5,75.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_106979256_06316_1.wav,,,passerine
150,151,Spectrogram 1,1,75.0,75.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_107096352_06868_1.wav,,,passerine
151,152,Spectrogram 1,1,75.5,76.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_107275343_06868_1.wav,,,passerine
152,153,Spectrogram 1,1,76.0,76.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_107310648_06079_1.wav,,,passerine
153,154,Spectrogram 1,1,76.5,77.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_107346456_02684_1.wav,swth,thrush,passerine
154,155,Spectrogram 1,1,77.0,77.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_108110448_02368_1.wav,swth,thrush,passerine
155,156,Spectrogram 1,1,77.5,78.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_108378599_02921_1.wav,swth,thrush,passerine
156,157,Spectrogram 1,1,78.0,78.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_108466704_02684_1.wav,swth,thrush,passerine
157,158,Spectrogram 1,1,78.5,79.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_108561888_02684_1.wav,,,passerine
158,159,Spectrogram 1,1,79.0,79.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_108858504_02684_1.wav,swth,thrush,passerine
159,160,Spectrogram 1,1,79.5,80.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_109072080_03474_1.wav,gcth,thrush,passerine
160,161,Spectrogram 1,1,80.0,80.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_109382183_02842_1.wav,,thrush,passerine
161,162,Spectrogram 1,1,80.5,81.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_109510392_07026_1.wav,,,passerine
162,163,Spectrogram 1,1,81.0,81.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_109747272_02842_1.wav,,thrush,passerine
163,164,Spectrogram 1,1,81.5,82.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_109941528_06790_1.wav,,,passerine
164,165,Spectrogram 1,1,82.0,82.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_110208888_03079_1.wav,,,passerine
165,166,Spectrogram 1,1,82.5,83.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_110364480_03158_1.wav,,,passerine
166,167,Spectrogram 1,1,83.0,83.5,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_110443223_02526_1.wav,,thrush,passerine
167,168,Spectrogram 1,1,83.5,84.0,0.0,12000.0,/Volumes/Public/HD5/BirdVox-70k_unit03/unit03_110728704_07105_1.wav,,,passerine
